C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST06:57:47

HD36591
-------

Object HD 36591  ---  V*  ---  OID=@799456   (@@16980,0)  ---  coobox=6471

Coordinates(ICRS,ep=J2000,eq=2000): 05 32 41.3510096736  -01 35 30.595447356 (Opt ) A [0.1458 0.1232 90] 2020yCat.1350....0G
Coordinates(FK4,ep=B1950,eq=1950): 05 30 09.4696382307  -01 37 35.211704899
Coordinates(Gal,ep=J2000,eq=2000): 205.1375674529184  -18.2023830665609
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: 1.919 -1.626 [0.186 0.139 90] A 2020yCat.1350....0G
Parallax: 2.351 [0.1828] A 2020yCat.1350....0G
Radial Velocity: 34.30 [0.74] A 2007AN....328..889K
Redshift: 0.000114 [0.000002] A 2007AN....328..889K
cz: 34.30 [0.74] A 2007AN....328..889K
Flux U : 4.240 [0.010] C 1985A&AS...61..331O
Flux B : 5.15 [0.01] D 2002A&A...384..180F
Flux V : 5.34 [0.01] D 2002A&A...384..180F
Flux G : 5.303750 [0.002926] C 2020yCat.1350....0G
Flux J : 5.739 [0.018] C 2003yCat.2246....0C
Flux H : 5.864 [0.033] C 2003yCat.2246....0C
Flux K : 5.887 [0.020] C 2003yCat.2246....0C
Spectral type: B2II/III D 1999MSS...C05....0H
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (45):
   HIP 25980                            WISE J053241.35-013530.3             ADS 4141 A                         
   IDS 05276-0140 A                     ** BU 1048A                          WDS J05327-0136A                   
   CCDM J05327-0136A                    Gaia DR3 3217232836041932800         TIC 50790250                       
   GC 6863                              2MASS J05324134-0135305              AG-01 571                          
   ALS 8427                             BD-01 935                            CEL 776                            
   CSV 100504                           GCRV 3368                            GEN# +1.00036591                   
   GEN# +9.00040001                     GEN# +9.04000110                     GSC 04766-02452                    
   HD 36591                             HIC 25980                            HR 1861                            
   IRAS 05301-0137                      JP11 5916                            JP11 5917                          
   LS VI -01 1                          MCW 327                              NSV 2107                           
   PPM 175892                           ROT 847                              SAO 132234                         
   SKY# 8899                            TD1 4826                             TYC 4766-2452-1                    
   UBV 5366                             UBV M 51970                          WH 159                             
   YZ 91 1369                           [GS83] 4                             [SC93b] 273                        
   [KSP2003] J053241.40-013532.9        WEB 5054                             Gaia DR2 3217232836041932800       

Bibcodes  1850-2023 () (242):
  2023A&A...672A..31O  2023A&A...674A.212D  2022A&A...657A..62K  2022ApJ...937..110L
  2022MNRAS.517.3101P  2021A&A...645L...8X  2021ApJS..254...42B  2021MNRAS.504.3730C
  2020ApJ...896...59A  2020MNRAS.493.2339M  2020PASP..132b4201P  2019A&A...623A..72K
  2019AJ....157...85B  2019ApJ...884..150A  2019MNRAS.483..299G  2019MNRAS.490.3158C
  2018A&A...616L..15X  2018A&A...618A.110B  2018A&A...620A.172Z  2018MNRAS.480..488I
  2017A&A...597A..22S  2017AJ....153...16S  2017ApJ...850..194F  2017MNRAS.472.3887M
  2017PASJ...69...48S  2016A&A...591A.118S  2016ApJ...824....3P  2016MNRAS.462.1123A
  2015A&A...574A.123M  2015A&A...580A..23P  2015AJ....150..100K  2014A&A...562A.135S
  2014A&A...566A...7N  2013A&A...550A..26N  2013A&A...553A..95M  2012A&A...539A.143N
  2012A&A...546A..61D  2012AN....333...60K  2012ApJS..199....8G  2012MNRAS.424.1925C
  2012MNRAS.427..343M  2011A&A...532A...2N  2011MNRAS.410..190T  2010A&A...510A..22S
  2010A&A...515A..74L  2010A&A...515A.111S  2010A&A...517A..38P  2010A&A...520A..89M
  2010A&A...522A..39F  2010AN....331..349H  2010ApJ...708.1628M  2010ApJ...714L.318T
  2010ApJS..187..149A  2009AJ....138.1577D  2008A&A...481..199N  2008A&A...481..453M
  2008A&A...485..585M  2008A&A...487..307M  2008AN....329..801C  2008ApJ...678.1342L
  2008ApJ...688L.103P  2008MNRAS.389..869E  2007A&A...467..295N  2007A&A...474..653V
  2006ApJ...639L..39N  2006ApJ...640.1039M  2006ApJ...647L.143C  2006ApJ...652..472H
  2005AJ....129..809S  2005AJ....129..856H  2005AJ....130.1652R  2005MNRAS.358..193L
  2004MNRAS.351..745L  2003AJ....125.2531R  2003AJ....126.1423K  2002ApJ...565..571V
  2002ApJ...573..359A  2002ApJ...573..584B  2002MNRAS.333....9L  2001A&A...367..297A
  2001ApJ...548..429P  2000MNRAS.316...19L  1999A&A...352..600K  1999A&A...352..605K
  1999MNSSA..58...80C  1999MSS...C05....0H  1999PASP..111..621S  1998A&AS..129....9P
  1998ApJS..115..271R  1998ApJS..119..121L  1998BaltA...7..427A  1998MNRAS.294...93K
  1997A&A...319..811B  1997A&A...323L..49P  1997A&AS..124..299C  1997A&AS..125...65A
  1996A&AS..118..481B  1996A&AS..119..271F  1996MNRAS.278..811H  1995A&AS..109..329M
  1995A&AS..114..269D  1994A&A...282..867K  1994A&A...286.1006O  1994A&AS..103..135A
