C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.24CEST02:40:49

HD142373
--------

Object * chi Her  ---  PM*  ---  OID=@496214   (@@134452,0)  ---  coobox=1299

Coordinates(ICRS,ep=J2000,eq=2000): 15 52 40.5411372117  +42 27 05.451105113 (Opt ) A [0.1250 0.1291 90] 2018yCat.1345....0G
Coordinates(FK4,ep=B1950,eq=1950): 15 50 56.7013038018  +42 35 25.654382581
Coordinates(Gal,ep=J2000,eq=2000): 067.6969735718592  +50.3179385846915
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: 438.816 630.313 [0.252 0.290 90] A 2018yCat.1345....0G
Parallax: 63.1627 [0.1490] A 2018yCat.1345....0G
Radial Velocity: -56.072 [0.0010] A 2018A&A...616A...7S
Redshift: -0.000187 [0.000000] A 2018A&A...616A...7S
cz: -56.07 [0.00] A 2018A&A...616A...7S
Flux U : 5.19 [~] C 2002yCat.2237....0D
Flux B : 5.19 [~] C 2002yCat.2237....0D
Flux V : 4.62 [~] C 2002yCat.2237....0D
Flux G : 4.3655 [0.0037] C 2018yCat.1345....0G
Flux R : 4.14 [~] C 2002yCat.2237....0D
Flux I : 3.82 [~] C 2002yCat.2237....0D
Flux J : 3.49 [~] C 2002yCat.2237....0D
Flux H : 3.14 [~] C 2002yCat.2237....0D
Flux K : 3.12 [~] C 2002yCat.2237....0D
Spectral type: F8VFe-2Hdel-1 C 1989ApJS...71..245K
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (43):
   TIC 157364190                   PLX 3596                        LSPM J1552+4227               
   ASCC 413830                     USNO-B1.0 1324-00326431         * chi Her                     
   * 1 Her                         AG+42 1368                      BD+42 2648                    
   Ci 20 950                       FK5 1416                        GC 21340                      
   GCRV 9153                       GEN# +1.00142373                GJ 602                        
   HD 142373                       HIC 77760                       HIP 77760                     
   HR 5914                         IRAS 15509+4235                 JP11 2672                     
   LFT 1229                        LHS 3127                        LTT 14709                     
   N30 3571                        NLTT 41439                      PMC 90-93 998                 
   PPM 55019                       ROT 2244                        SAO 45772                     
   SKY# 28683                      SPOCS 674                       TD1 18659                     
   TYC 3057-2021-1                 UBV 13499                       UBV M 21020                   
   [HFE83] 1147                    uvby98 100142373                2MASS J15524052+4227052       
   PLX 3596.00                     WISEA J155240.95+422712.1       WEB 13156                     
   Gaia DR2 1384195086792268800                                                                  

Bibcodes  1850-2021 () (486):
  2021A&A...646A..77G  2021AJ....161...20P  2020A&A...635A..46P  2020AJ....159..177E
  2020ApJ...889..157C  2020ApJ...902....3L  2020ApJS..247...11R  2019A&A...623A..72K
  2019A&A...624A..10G  2019A&A...624A..94M  2019ApJ...886...19S  2019ApJ...886...41L
  2019ApJS..241...12S  2019ApJS..243...32H  2019MNRAS.483.3510V  2019MNRAS.490.3158C
  2018A&A...614A..55A  2018A&A...616A...7S  2018A&A...616A.108B  2018AJ....155..113F
  2018AJ....155..194E  2018ApJ...866...80E  2017AJ....153...16S  2017AJ....153...21L
  2017AJ....154..115H  2017ApJ...836..139F  2017ApJ...837...14A  2017MNRAS.465.4335D
  2017MNRAS.469.3042N  2017PASP..129e4501I  2016A&A...586A..14H  2016A&A...587A...2B
  2016A&A...591A..89M  2016A&A...591A.118S  2016A&A...593A..51M  2016ApJ...817..112S
  2016ApJ...820...27D  2016ApJ...826..171G  2016ApJ...833..225Z  2016AstL...42..734S
  2016MNRAS.457.3178P  2016PASP..128k4401H  2015A&A...574A...6A  2015A&A...579A..20M
  2015A&A...580A..23P  2015A&A...580A..24D  2015ApJ...801..143M  2015ApJ...808..148S
  2015ApJ...815..118F  2015ApJS..216...24W  2015MNRAS.449.2250K  2015MNRAS.449.3160R
  2014A&A...561A..36W  2014A&A...563A..52P  2014A&A...567A..26L  2014ApJ...787...75M
  2014ApJS..210....5F  2013A&A...551L...8P  2013A&A...553A..95M  2013A&A...554A..50S
  2013A&A...555A.104A  2013A&A...557A.128C  2013ApJ...766...69L  2013ApJ...768...25G
  2013ApJ...775...55B  2013PASJ...65...65T  2013PASP..125.1056T  2012A&A...541A..40M
  2012A&A...544A..31V  2012A&A...546A..61D  2012AJ....143..135V  2012ApJ...755...36S
  2012ApJ...756...46R  2012ApJS..199....8G  2011A&A...525A..71W  2011A&A...526A..71D
  2011A&A...530A.138C  2011A&A...531A.165P  2011AJ....141...90L  2011ApJ...743..109S
  2011MNRAS.414.1227M  2011PASJ...63L..43M  2011PASJ...63S.537T  2011PASJ...63S.547T
  2010A&A...515A.111S  2010A&A...516A..28V  2010A&A...516A..29V  2010AJ....140..235I
  2010ApJ...716.1551L  2010ApJ...723.1469W  2010ApJ...725..875I  2010ApJS..187..149A
  2010ApJS..190....1R  2010MNRAS.403.1089P  2010PASP..122..885S  2010PASP..122.1195T
  2009A&A...501..941H  2009AJ....137..272R  2009AJ....137.3245M  2009ApJ...700L..73K
  2009ApJ...705...89L  2009MNRAS.394.1338B  2009MNRAS.396.1895C  2008A&A...483..903B
  2008AJ....135.2245R  2008AN....329..790J  2008ApJ...673..283R  2008ApJ...674.1086T
  2008ApJ...687.1264M  2008ApJ...688.1345Z  2008BASI...36....1M  2008JAVSO..36..110M
  2008MNRAS.389..869E  2008NewA...13..304M  2008PASP..120..602T  2007AJ....133..862H
  2007ARep...51..903M  2007AcA....57..301M  2007ApJ...660..641K  2007ApJ...663..643J
  2007ApJS..168..297T  2007ApJS..171..146S  2007MNRAS.374..664C  2007PASJ...59..335T
