C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.23CEST15:17:06

HD400
-----

Object HD 400  ---  PM*  ---  OID=@1543921   (@@32064,11)  ---  coobox=11590

Coordinates(ICRS,ep=J2000,eq=2000): 00 08 40.9385088178  +36 37 37.648934145 (Opt ) A [0.0377 0.0223 90] 2018yCat.1345....0G
Coordinates(FK4,ep=B1950,eq=1950): 00 06 06.0549295496  +36 21 02.309536950
Coordinates(Gal,ep=J2000,eq=2000): 113.4430781560804  -25.4555943673287
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: -114.069 -124.300 [0.056 0.034 90] A 2018yCat.1345....0G
Parallax: 30.6749 [0.0522] A 2018yCat.1345....0G
Radial Velocity: -15.163 [0.0010] A 2018A&A...616A...7S
Redshift: -0.000051 [0.000000] A 2018A&A...616A...7S
cz: -15.16 [0.00] A 2018A&A...616A...7S
Flux G : 6.0664 [0.0003] C 2018yCat.1345....0G
Flux R : 5.9 [~] E 2003AJ....125..984M
Flux K : 12.36 [0.02] E 2003yCat.2246....0C
Spectral type: F8IV D 2007MNRAS.374..664C
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (33):
   TIC 194303203                   LSPM J0008+3637                 ASCC 453541                   
   2MASS J00084037+3637377         USNO-B1.0 1266-00002314         PLX 13                        
   AG+36 9                         BD+35 8                         GC 131                        
   GCRV 65                         GEN# +1.00000400                GJ 6                          
   GSC 02271-01441                 HD 400                          HIC 699                       
   HIP 699                         HR 17                           IRAS 00060+3620               
   PPM 65041                       ROT 59                          SAO 53677                     
   SKY# 253                        SPOCS 7                         TD1 36                        
   TYC 2271-1441-1                 UBV 90                          UBV M 7161                    
   UBV M 7191                      uvby98 100000400                PLX 13.00                     
   WISEA J000840.83+363736.4       WEB 119                         Gaia DR2 2877522230262577024  

Bibcodes  1850-2021 () (156):
  2020ApJ...898...27S  2020ApJS..247...11R  2019A&A...621A..87B  2019A&A...623A..72K
  2019ApJ...880...49H  2019ApJS..241...12S  2018A&A...614A..55A  2018A&A...615A.151B
  2018A&A...616A...7S  2018A&A...616A.108B  2017AJ....153...21L  2017AJ....154..115H
  2017MNRAS.469.3042N  2016A&A...587A...2B  2016A&A...591A.118S  2016ApJ...826..171G
  2016ApJS..224...36K  2015A&A...580A..23P  2014A&A...562A..71B  2014AJ....148...54H
  2014ApJS..210....5F  2013A&A...551L...8P  2013A&A...552A..27M  2013A&A...552A..64S
  2013A&A...553A..95M  2013A&A...557A.128C  2013MNRAS.429..757S  2013MNRAS.434.1422M
  2013MNRAS.435..952S  2012A&A...546A..61D  2012ApJ...756...46R  2011A&A...525A..71W
  2011A&A...530A.138C  2011A&A...531A.165P  2011AJ....141...90L  2011MNRAS.414.1227M
  2010A&A...515A.111S  2010A&A...523A..91G  2010A&A...524A..10C  2010ApJ...725..875I
  2010PASP..122..885S  2009A&A...498..527O  2009A&A...501..941H  2009AJ....137..272R
  2008A&A...483..903B  2008A&A...485..823B  2008BASI...36....1M  2007A&A...467..665F
  2007ARep...51..903M  2007ApJS..168..297T  2007ApJS..171..146S  2007MNRAS.374..664C
  2007PASJ...59..335T  2006ApJ...637.1102R  2006AstL...32..759G  2006MNRAS.371..703S
  2006MNRAS.371.1793K  2005A&A...433..185B  2005A&A...438..139S  2005AJ....129.1483L
  2005AJ....130.2666P  2005ApJ...622.1102F  2005ApJS..159..141V  2005MNRAS.360.1345K
  2005PASJ...57...13T  2005PASJ...57...27T  2005PASJ...57...45T  2004A&A...418..989N
  2004A&A...423..517R  2004A&A...423..683S  2004A&A...425..187T  2004AJ....128.1177V
  2004ARep...48..185M  2004ApJS..152..251V  2004ApJS..152..261W  2004AstL...30..148B
  2004MNRAS.349..757L  2004MNRAS.350.1127A  2003A&A...397..159H  2003A&A...398..721T
  2003A&A...398..731T  2003A&A...400..877P  2003A&A...405..723D  2002A&A...381..982S
