C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST11:48:03

HD170153
--------

Object * chi Dra  ---  SB*  ---  OID=@314897   (@@7878,2)  ---  coobox=862

Coordinates(ICRS,ep=J2000,eq=2000): 18 21 03.38255  +72 43 58.2518 (Opt ) A [9.06 8.26 88] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 18 21 57.49103  +72 42 42.0082
Coordinates(Gal,ep=J2000,eq=2000): 103.45634735  +28.05705682 
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: 531.21 -349.71 [1.03 0.94 0] A 2007A&A...474..653V
Parallax: 124.11 [0.87] A 2007A&A...474..653V
Radial Velocity: 31.90 [0.14] A 2004A&A...424..727P
Redshift: 0.000106 [0.000000] A 2004A&A...424..727P
cz: 31.90 [0.14] A 2004A&A...424..727P
Flux U : 4.010 [0.010] C 1984A&AS...57..357O
Flux B : 4.070 [0.007] C 1993A&AS..100..591O
Flux V : 3.580 [0.009] C 1993A&AS..100..591O
Flux G : 3.387717 [0.004770] C 2022yCat.1355....0G
Flux R : 3.14 [~] C 2002yCat.2237....0D
Flux I : 2.83 [~] C 2002yCat.2237....0D
Flux J : 2.50 [~] C 2002yCat.2237....0D
Flux H : 2.22 [~] C 2002yCat.2237....0D
Flux K : 2.18 [~] C 2002yCat.2237....0D
Spectral type: F7V C 2001AJ....121.2148G
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (65):
   HIP 89937                            Gaia DR3 2266693630693936512         TIC 341873045                      
   PLX 4245                             SBC9 1058                            LSPM J1821+7243                    
   ASCC 49345                           USNO-B1.0 1627-00135815              * chi Dra A                        
   * chi Dra                            * 44 Dra                             1RXS J182103.0+724342              
   2E 1822.0+7242                       2E 4068                              AG+72 496                          
   BD+72 839                            CCDM J18211+7245A                    CSI+72 839 1                       
   Ci 20 1087                           FK5 695                              GAT 106                            
   GC 25122                             GCRV 10880                           GEN# +1.00170153                   
   GJ 713                               HD 170153                            HIC 89937                          
   HR 6927                              IDS 18229+7241 A                     IRC +70144                         
   JP11 2982                            LFT 1413                             LHS 3379                           
   LTT 15438                            N30 4088                             NLTT 46426                         
   NSV 10749                            PMC 90-93 494                        PPM 9830                           
   RAFGL 2144S                          ROT 2608                             RX J1821.0+7243                    
   SAO 9087                             SBC7 686                             SKY# 33473                         
   TD1 22471                            UBV 15693                            UBV M 22972                        
   USNO 878                             2MASS J18210342+7243582              TYC 4437-1491-1                    
   WDS J18211+7244Aa,Ab                 GJ 713 A                             Zkh 274                            
   AKARI-IRC-V1 J1821042+724356         IRAS 18220+7242                      WDS J18211+7244A                   
   ** LAB 5                             ** BUP 182A                          GJ 713 B                           
   * chi Dra B                          [TSA98] J182101.59+724357.01         WISEA J182104.61+724354.5          
   WEB 15359                            Gaia DR2 2266693630693473024                                            

Bibcodes  1850-2023 () (398):
  2023AJ....165..133W  2021A&A...649A...6G  2021A&A...649A.112V  2021A&A...650A.201R
  2021A&A...652A..31B  2021MNRAS.504.3730C  2020ApJS..247...11R  2020ApJS..248...19T
  2020MNRAS.492.2709P  2020MNRAS.494.5682S  2019A&A...630A..96A  2019ApJ...880...49H
  2019ApJS..241...12S  2019ApJS..243...32H  2019MNRAS.483.3510V  2019MNRAS.487.5610S
  2019MNRAS.488.3588Y  2019MNRAS.490.3158C  2018MNRAS.473L..41L  2018MNRAS.481.2487O
  2017AJ....153...21L  2017AJ....154..115H  2017ApJ...836..139F  2017MNRAS.469.3042N
  2017MNRAS.469.4378M  2017PASP..129e4501I  2016A&A...587A...2B  2016A&A...591A.118S
  2016A&A...593A..51M  2016A&A...596A..49B  2016ApJ...817..112S  2016ApJ...826..171G
  2016ApJS..227....4H  2016MNRAS.457..836E  2016PASP..128k4401H  2015A&A...575A..35B
  2015A&A...580A..23P  2015AJ....149..166H  2015ApJ...808..194L  2015ApJS..216...24W
  2015MNRAS.449.3160R  2014A&A...561A..36W  2014AJ....147...87T  2014AJ....148...48F
  2014AJ....148...54H  2013A&A...551L...8P  2013A&A...557A.128C  2013AJ....145...81R
  2013AJ....146...99C  2013ApJ...764...78R  2013ApJ...768...25G  2013ApJ...775...55B
  2012A&A...544A..31V  2012A&A...546A..69M  2012AJ....143..135V  2012AJ....144...62A
  2012AJ....144...64D  2012ApJ...753..156K  2012ApJ...756...46R  2012MNRAS.427.2723J
  2011A&A...525A..26D  2011A&A...530A.138C  2011MNRAS.414.2893F  2011MNRAS.418.1272J
  2010A&A...515A.111S  2010A&A...516A..28V  2010A&A...516A..29V  2010A&A...520A..79M
  2010A&A...521A..12M  2010A&ARv..18...67T  2010AJ....139.1975R  2010AJ....139.2308F
  2010ApJS..190..203P  2010ChA&A..34..277X  2010MNRAS.403.1089P  2010PASP..122..885S
  2010SerAJ.180...71C  2009A&A...501..941H  2009ApJS..184..138H  2009BAVSR..58..236P
  2009MNRAS.394.1338B  2009MNRAS.396.1895C  2008A&A...483..903B  2008AJ....136..312H
  2008AN....329..790J  2008MNRAS.384..173F  2008MNRAS.389..869E  2007A&A...465..271R
  2007A&A...474..653V  2007A&ARv..14..217C  2007ApJ...660.1556R  2007ApJ...669.1024M
  2007JHA....38..222W  2006AJ....131.3069L  2006AJ....132.2453T  2006ApJS..162..207A
  2006AstL...32..759G  2005A&A...438..139S  2005A&A...442..365J  2005AJ....129.1063L
  2005AJ....129.1483L  2004A&A...417..651S  2004A&A...418..989N  2004A&A...420..183A
  2004A&A...421..649I  2004A&A...423..777B  2004A&A...424..727P  2004AJ....127.2871M
  2004AN....325....3F  2004ApJ...604..741H  2004ApJ...613..312F  2004MNRAS.349..757L
  2004MNRAS.350.1127A  2003A&A...397..159H  2003A&A...398..721T  2003A&A...398..731T
  2003A&A...400..241P  2003A&A...407..631B  2003ApJ...582.1011S  2002A&A...381..982S
  2002A&A...390.1033V  2002A&A...394..539H  2002A&A...396..131M  2002ApJS..141..187B
