C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.24CEST01:06:05

HD173524
--------

Object * c Dra  ---  SB*  ---  OID=@285800   (@@10380,10)  ---  coobox=366

Coordinates(ICRS,ep=J2000,eq=2000): 18 42 37.9530997  +55 32 22.043388 (Opt ) A [0.16 0.14 90] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 18 41 39.8008698  +55 29 17.605992
Coordinates(Gal,ep=J2000,eq=2000): 084.9393363109  +23.2852744773
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: -3.01 23.02 [0.21 0.20 90] A 2007A&A...474..653V
Parallax: 9.58 [0.16] A 2007A&A...474..653V
Radial Velocity: -30.0 [0.9] E 1953GCRV..C......0W
Redshift: -0.000100 [0.000003] E 1953GCRV..C......0W
cz: -30.00 [0.90] E 1953GCRV..C......0W
Flux B : 4.943 [0.014] D 2000A&A...355L..27H
Flux V : 5.026 [0.009] D 2000A&A...355L..27H
Flux G : 4.9835 [0.0026] C 2018yCat.1345....0G
Flux J : 5.145 [0.037] C 2003yCat.2246....0C
Flux H : 5.181 [0.031] C 2003yCat.2246....0C
Flux K : 5.174 [0.018] C 2003yCat.2246....0C
Spectral type: A0IIIpHgMn C 1995ApJS...99..135A
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (45):
   TIC 392569763                   * c Dra                         PLX 4323                      
   SBC9 1077                       * 46 Dra                        2E 4122                       
   AG+55 1189                      BD+55 2107                      BDS 8751 A                    
   CCDM J18426+5534A               CSI+55 2107 1                   FK5 3491                      
   GC 25635                        GCRV 11175                      GEN# +1.00173524              
   GSC 03922-02095                 HD 173524                       HIC 91755                     
   HIP 91755                       HR 7049                         IDS 18407+5526 A              
   PMC 90-93 1416                  PPM 36781                       ROT 2652                      
   SAO 31119                       SBC7 699                        SKY# 34338                    
   TD1 23120                       TYC 3922-2095-1                 UBV 15946                     
   UBV M 23196                     YZ 55 9933                      uvby98 100173524              
   2MASS J18423795+5532221         2E 1841.6+5529                  WDS J18426+5532Aa,Ab          
   Renson 48580                    AKARI-IRC-V1 J1842379+553222    IRAS 18416+5529               
   WDS J18426+5532A                ** ISO 7                        Gaia DR1 2147865728290660864  
   WEB 15786                       Gaia DR2 2147865732587997056    [TSA98] J184237.68+553239.27  

Bibcodes  1850-2021 () (176):
  2021MNRAS.501.3568C  2020MNRAS.496..832C  2019A&A...623A..72K  2019MNRAS.490.3158C
  2018MNRAS.480.2953G  2017A&A...601A.119C  2017AJ....153..218C  2016MNRAS.460.1912G
  2015A&A...580A..23P  2015AJ....150..204J  2015ApJS..216...33F  2015PASP..127..509A
  2014A&A...561A..63G  2014PASP..126..345Y  2012A&A...544A..31V  2012AJ....143...28F
  2012ApJS..199....8G  2012AstL...38..694G  2012MNRAS.427..343M  2011A&A...531A.165P
  2011MNRAS.413.1200R  2011SerAJ.182...35D  2010A&A...510A..54W  2010A&A...516A..28V
  2010A&A...516A..29V  2010MNRAS.402.2539G  2009A&A...498..961R  2009AJ....137.3358M
  2009MNRAS.392..448H  2009MNRAS.394.1338B  2008MNRAS.389..869E  2008MNRAS.389..925T
  2007JHA....38..222W  2007MNRAS.374..664C  2007MNRAS.377.1579C  2006AstL...32..759G
  2006MNRAS.371..703S  2005ARep...49..217B  2004A&A...416..661C  2004A&A...424..727P
  2004A&A...425..171Y  2003A&A...407..631B  2003A&A...407..669C  2002A&A...393..897R
  2002AAS...201..404R  2002ApJ...573..359A  2002ApJS..140..265P  2001A&A...367..521P
  2001Ap.....44...64S  1999A&A...351..963R  1999ApJ...521..414W  1999AstL...25..453Y
  1998A&A...336..953G  1998A&AS..129..431H  1998A&AS..132...93A  1998AJ....115.2587T
  1998CoSka..27..319R  1998CoSka..27..464H  1998MNRAS.297....1A  1998PAZh...24..116T
  1998PAZh...24..307S  1997A&A...323..121B  1997A&AS..124...75T  1997A&AS..124..255F
  1997A&AS..124..299C  1997PNAOJ...5....1Y  1996A&AS..118..481B  1995A&AS..114..269D
  1995ApJS...99..135A  1995ComAp..18..167H  1995PAZh...21..908K  1995PNAOJ...4...67M
  1994A&A...292L...5B  1994AJ....108.2203D  1994BSAO...38..152G  1993PNAOJ...3..153M
  1993VeARI..34....1S  1993yCat.3135....0C  1992A&AS...95..273C  1992PNAOJ...2..459I
  1992PNAOJ...2..561M  1991A&AS...89..429R  1991PASAu...9..270I  1991SoSAO..66....5K
  1991TrSht..62..243G  1990AISAO..29...84K  1990PNAOJ...1..217I  1987A&A...186..223A
  1987AISAO..24...44K  1987AISAO..25...13G  1987AISAO..25...41L  1986AISAO..21...21L
  1986AISAO..21...30L  1986AISAO..22...39G  1986ApJ...304..425T  1986MNRAS.220..559G
  1986NIA86.......71S  1985A&A...146..341G  1985A&AS...59..145C  1985A&AS...60...99W
  1985AZh....62...87K  1985AZh....62..947K  1985AbaOB..59...83B  1985PASP...97..970A
