C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.24CEST00:21:26

HD102509
--------

Object * 93 Leo  ---  RS*  ---  OID=@1843859   (@@38284,0)  ---  coobox=13139

Coordinates(ICRS,ep=J2000,eq=2000): 11 47 59.13595  +20 13 08.1500 (Opt ) A [1.76 1.49 90] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 11 45 24.46158  +20 29 48.7886
Coordinates(Gal,ep=J2000,eq=2000): 235.00339929  +73.93191211 
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: -145.49 -4.34 [0.20 0.17 0] A 2007A&A...474..653V
Parallax: 14.02 [0.23] A 2007A&A...474..653V
Radial Velocity: 0.750 [0.05] A 2012MNRAS.422...14H
Redshift: 0.000003 [0.000000] A 2012MNRAS.422...14H
cz: 0.75 [0.05] A 2012MNRAS.422...14H
Flux B : 5.065 [0.014] D 2000A&A...355L..27H
Flux V : 4.522 [0.009] D 2000A&A...355L..27H
Flux G : 4.2986 [0.0047] C 2018yCat.1345....0G
Flux J : 3.258 [0.268] D 2003yCat.2246....0C
Flux H : 2.935 [0.224] D 2003yCat.2246....0C
Flux K : 2.824 [0.332] E 2003yCat.2246....0C
Spectral type: F8III+A6III C 1995ApJS...99..135A
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (64):
   TIC 87480403                    CABS 98                         PLX 2731                      
   SBC9 690                        * 93 Leo                        2E 2534                       
   2RE J1147+201                   2RE J114757+201402              AG+20 1296                    
   BD+21 2358                      BDS 5921 A                      CCABS 81                      
   CCDM J11480+2014A               FK5 1304                        GC 16173                      
   GCRV 7141                       GEN# +1.00102509                GSC 01443-02662               
   HD 102509                       HIC 57565                       HIP 57565                     
   HR 4527                         IDS 11428+2046 A                IRAS 11453+2029               
   IRC +20234                      JP11 2099                       N30 2752                      
   PMC 90-93 901                   PPM 101425                      RBS 1036                      
   RE J114758+201225               RE J1147+201                    ROT 1747                      
   SAO 81998                       SBC7 443                        SKY# 22288                    
   SRS 31304                       TD1 15870                       TYC 1443-2662-1               
   UBV 10623                       UBV M 17394                     V* DQ Leo                     
   YZ 20 4366                      2MASS J11475915+2013080         PLX 2731.00                   
   1ES 1145+20.4                   1RXS J114759.3+201312           2E 1145.4+2029                
   2EUVE J1147+20.2                EUVE J1147+20.2                 RX J1147.9+2013               
   RX J1147.9+2012                 [ZEH2003] RX J1147.9+2013 1     WDS J11480+2013A              
   ** MKT 7                        ** STFB 7A                      ** STF 5007A                  
   PMSC 11428+2046Aab              WDS J11480+2013Aa,Ab            PMSC 11428+2046A              
   uvby98 100102509                WEB 10337                       [LVO2003] J114758.3+201258    
   Gaia DR2 3976203211362055168                                                                  

Bibcodes  1850-2021 () (215):
  2020ApJS..247...11R  2020MNRAS.495L.135J  2019A&A...623A..72K  2019ApJS..243...32H
  2019MNRAS.483..299G  2019MNRAS.490.3158C  2017AJ....154..115H  2017ApJ...844..103T
  2017MNRAS.464.4966H  2017MNRAS.467..873C  2017MNRAS.468.3533E  2016A&A...591A.118S
  2016ApJ...826..171G  2016MNRAS.457..836E  2015A&A...580A..23P  2014ApJ...791...58A
  2013A&A...551L...8P  2012A&A...546A..61D  2012A&A...546A..69M  2012AJ....143...28F
  2012AN....333..663S  2012MNRAS.422...14H  2012MNRAS.427..343M  2011A&A...525A..26D
  2010A&A...516A..28V  2010A&A...516A..29V  2010AJ....139.1975R  2010ApJ...725..875I
  2010ChA&A..34..277X  2010MNRAS.405.2570B  2009ApJS..184..138H  2009MNRAS.394.1338B
  2009MNRAS.394.1393G  2008AJ....135..209M  2008MNRAS.389..869E  2008MNRAS.389..925T
  2008MNRAS.389.1722E  2007A&A...464.1101G  2007A&A...467..277M  2007A&ARv..14..217C
  2007MNRAS.382.1073M  2006AstL...32..759G  2006MNRAS.366.1511D  2006MNRAS.373.1483E
  2005A&A...431..773R  2005A&A...442..365J  2004A&A...424..727P  2004KFNT...20e.430B
  2004MNRAS.349.1069K  2004MNRAS.350..685G  2003A&A...398.1163P  2003A&A...406..535Z
  2003A&A...407..631B  2003AJ....126.2740L  2002A&A...386..492R  2002ApJ...576L..61M
  2002ApJS..143..513G  2001A&A...365..222G  2001A&A...367..521P  2001ARA&A..39..353Q
  2001BaltA..10..481B  2000A&AS..142...13G  2000A&AS..145..215P  2000AN....321....1S
  1999A&AS..134..473G  1999A&AS..136..419P  1999A&AS..137..451G  1999ApJ...524..988K
  1998A&A...337..739B  1998A&AS..127..251H  1998A&AS..129..431H  1998ApJS..119...83P
  1998PASP..110..794S  1997A&A...317..776M  1997A&A...328..579G  1997A&AS..123..135G
  1997A&AS..124...75T  1997AJ....114..850S  1997ApJS..108..545L  1997MNRAS.290..607G
  1997NewA....2...31G  1997PNAOJ...5....1Y  1996A&A...310..797M  1996A&A...312..221M
  1996A&A...313..523B  1996A&AS..115...61M  1996AJ....111.2415S  1996ApJS..102..129B
  1996JAVSO..24..105H  1996PASP..108...68H  1996PASP..108..242H  1995A&A...294..165M
  1995A&AS..109..135M  1995A&AS..109..177W  1995A&AS..109..501C  1995A&AS..114..269D
  1995A&AS..114..465K  1995AJ....109.1797E  1995AJ....109.2187W  1995AJ....110..376H
  1995Ap&SS.229..185G  1995ApJS...96..581E  1995ApJS...97..513H  1995ApJS...99..135A
  1995GCTP..C......0V  1995MNRAS.274..589D  1995MNRAS.274.1165P  1995PNAOJ...4...67M
  1994A&A...281..855S  1994A&A...284..883F  1994A&AS..103..413S  1994A&AS..103..427K
  1994AcA....44...33S  1994ApJS...90..433F  1994MmSAI..65...73H  1993A&AS..100..173S
  1993A&AS..101..551L  1993A&AS..102..343S  1993ApJ...413..333D  1993ApJS...86..293D
  1993ApJS...86..599D  1993ChA&A..17...51L  1993MNRAS.260...77P  1993PASP..105..387S
  1993yCat.3135....0C  1992A&AS...95..355C  1992AcASn..33..316L  1992ApJ...392..187D
  1992ApJS...79..481E  1992ApJS...80..257E  1992ApJS...82..311D  1992PPMtO..11..184X
  1991A&A...248..563G  1991A&A...251..183S  1991AcASn..32..145T  1991ChA&A..15..461T
  1991PBeiO..17..120W  1991PPMtO..10..214Y  1990A&AS...85.1069S  1990ApJ...348..253M
  1990ApJ...349..163N  1990ApJ...365..704S  1990BICDS..38..175K  1990IBVS.3460....1E
  1990MmSAI..61...77B  1990PBeiO..16...18L  1989A&A...211...56H  1989A&AS...77..411S
  1989A&AS...78..511P  1989AJ.....97.1139F  1989ApJS...69..141S  1989ApJS...71..905D
  1988A&A...189..199G  1988A&A...207...55V  1988A&AS...72..291S  1988A&AS...75..441P
  1988AJ.....95..204M  1988AJ.....96..635E  1988MNRAS.234..445B  1987A&A...172...74H
  1987A&A...177..346V  1987A&AS...67....1C  1987A&AS...71..421R  1987AJ.....94..771D
  1987AcA....37..369G  1987AcApS...7..255W  1987ApJ...316..377B  1987LNP87.291..497N
  1987MmSAI..58..227B  1987PASP...99.1184P  1986A&A...160...73G  1986A&AS...66..131H
  1986AcASn..27..259L  1986ApJ...300..360M  1986ApJ...309L..83H  1986ApJS...62..147B
  1986IBVS.2937....1S  1985AJ.....90.1046E  1985AbaOB..59...83B  1985ApJ...298..761B
  1985IBVS.2680....1B  1985IBVS.2681....1K  1985PASP...97..643W  1984A&A...138..258S
  1984IBVS.2561....1B  1983Ap&SS..97..161V  1983ApJS...53..553P  1983PASP...95..768B
  1982ApJ...260..655Z  1980IBVS.1798....1H  1980IBVS.1833....1B  1979A&AS...36...25Y
  1979AN....300...99G  1979IzKry..60...37M  1978A&AS...31..159B  1978PDAO...15..121B
  1977AJ.....82..989S  1977ApJ...211..836Y  1977ApJS...34..115W  1976A&AS...23..393B
  1976PASP...88...95C  1975A&AS...19...91L  1970A&AS....1..199H  1970AJ.....75..978C
  1968AJ.....73...14L  1968ApJ...151..907A  1966AJ.....71..709C  1960AJ.....65..106C
  1955ApJ...121..653S  1955ApJ...122..182N  1953GCRV..C......0W  1922ApJ....56...40M
  1917ApJ....46..313A  1915PAllO...3..153J  1900ApJ....12..254C            

Measures (Fe_H:5  IUE:2  MK:8  PLX:3  PM:5  velocities:9  ):
Fe_H:5IUE:2MK:8PLX:3PM:5velocities:9

Notes (0) :

================================================================================

