C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST06:12:36

HD10360
-------

Object * p Eri A  ---  PM*  ---  OID=@3181778   (@@74248,13)  ---  coobox=23352

Coordinates(ICRS,ep=J2000,eq=2000): 01 39 47.8126958280  -56 11 35.944312380 (Opt ) A [0.0269 0.0312 90] 2020yCat.1350....0G
Coordinates(FK4,ep=B1950,eq=1950): 01 37 54.4000974904  -56 26 47.477741160
Coordinates(Gal,ep=J2000,eq=2000): 289.5917639677327  -59.6648433272494
hierarchy counts: #parents=2, #children=0, #siblings=0
Proper motions: 262.615 14.961 [0.032 0.036 90] A 2020yCat.1350....0G
Parallax: 122.1088 [0.0365] A 2020yCat.1350....0G
Radial Velocity: 21.59 [0.16] A 2018yCat.1345....0G
Redshift: 0.000072 [0.000001] A 2018yCat.1345....0G
cz: 21.59 [0.16] A 2018yCat.1345....0G
Flux B : 6.549 [0.015] D 2000A&A...355L..27H
Flux V : 5.685 [0.009] D 2000A&A...355L..27H
Flux G : 5.508302 [0.002796] C 2020yCat.1350....0G
Flux R : 6.36 [0.33] E 2012yCat.1322....0Z
Flux J : 3.57 [10.00] E 2003yCat.2246....0C
Flux K : 3.56 [0.27] D 2003yCat.2246....0C
Spectral type: K2V C 2006AJ....132..161G
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (30):
   Gaia DR3 4911306239828325632         TIC 231005905                        CCDM J01398-5612B                  
   CD-56 329                            CPC 20 455                           CSI-56 329 43                      
   GCRV 938                             GEN# +1.00010360                     GJ 66 B                            
   HD 10360                             HR 486                               IDS 01360-5642 B                   
   LTT 903                              PPM 331230                           PPM 766138                         
   SPOCS 91                             UBV M 8357                           Zkh 30                             
   uvby98 100010360                     TYC 8478-1394-2                      NLTT 5589                          
   WDS J01398-5612A                     USNO-B1.0 0338-00012416              ** DUN 5A                          
   Gaia DR2 4911306239828325632         * p Eri A                            AKARI-IRC-V1 J0139478-561137       
   UCAC4 170-001607                     2MASS J01394778-5611361              WEB 1664                           

Bibcodes  1850-2023 () (148):
  2023AJ....165..133W  2022A&A...659A.104M  2022A&A...665A..75G  2021A&A...649A...6G
  2021A&A...650A.201R  2021AJ....162..260M  2020A&A...639A..35H  2020ApJ...898...27S
  2020ApJS..247...11R  2020MNRAS.493.4570L  2019AJ....158..246B  2018A&A...609A...8B
  2018A&A...616A..37B  2018A&A...616A.108B  2017ApJ...849..142S  2017MNRAS.467..873C
  2016A&A...591A.118S  2016A&A...593A..51M  2016ApJ...819...28W  2016ApJ...826..171G
  2016PASP..128k4401H  2015A&A...580A..23P  2015AJ....149...86W  2014A&A...567A..26L
  2014MNRAS.443..260J  2013A&A...551A..52S  2013A&A...551L...8P  2013AJ....146...99C
  2013ApJ...764...78R  2012A&A...537A.147H  2012A&A...546A..69M  2012AJ....144...64D
  2012ApJ...753..156K  2012ApJ...756...46R  2012ApJ...760..106F  2012MNRAS.427.2723J
  2011A&A...530A.138C  2011A&A...532A..20F  2011ApJ...727..102W  2011ApJ...738...81W
  2010A&A...515A.111S  2010A&A...521A..40A  2010ApJ...722.1854W  2010ApJS..190....1R
  2010MNRAS.403.1089P  2010PASP..122..885S  2009A&A...501..941H  2009ApJ...701.1732O
  2009ApJ...705...89L  2008ApJ...687.1264M  2008MNRAS.387.1563E  2008MNRAS.389..869E
  2007A&A...468..721B  2007ApJ...669.1167B  2007ApJS..168..297T  2006A&A...449..723G
  2006AJ....132..161G  2006ApJ...652.1674B  2005A&A...438..139S  2005A&A...438..251B
  2005A&A...441..533C  2005ApJ...622.1102F  2005ApJS..159..141V  2004A&A...414..601I
  2004A&A...415.1153S  2004A&A...418..989N  2004A&A...423..517R  2004A&A...426..619E
  2003A&A...397..147P  2003A&A...398..721T  2003A&A...398..731T  2003A&A...404..715B
  2002BaltA..11..153B  2002KFNT...18f.535Z  2002MNRAS.337.1170J  2001A&A...367..521P
  2001A&A...373.1019S  2001MNRAS.328...45M  1998A&A...335..218F  1998A&AS..132..155H
  1998AJ....115.2397E  1998AJ....115.2587T  1998MNRAS.298..332R  1997A&A...322..131F
  1997A&A...326..221M  1997A&A...326..741S  1997MNRAS.284..803S  1997MmSAI..68..929F
  1996A&AS..119..403M  1996AJ....111..439H  1996JBIS...49..150H  1995A&A...295..147F
  1995A&AS..114..269D  1995AJ....109.1327E  1995AJ....109.2828T  1995ApJ...450..392S
  1995ApJ...450..401F  1995ApJS...99..701F  1995yCat.1098....0L  1994KFNT...10b..74Z
  1994MNRAS.267..840H  1994RMxAA..28...43P  1993A&A...277..428F  1993A&A...280..181M
  1993A&AS..100..343P  1993A&AS..101..551L  1993A&AS..102...89O  1993yCat.3135....0C
  1992BICDS..40...71P  1992MNRAS.257..105B  1991A&A...251..199P  1991ApJS...76..813S
  1990ApJS...72..567G  1990ApJS...74..891R  1986AJ.....92..910E  1984ApJS...55..657C
  1983ApJS...53..643J  1983MNRAS.202..761H  1982BICDS..22..112H  1980A&AS...42..185B
  1980AcA....30..453G  1980BICDS..19...41H  1980PASP...92..493C  1980SAAOC...1..166C
  1979VKha..190...52Z  1978ApJ...222..191E  1978ApJ...222..203E  1977PASP...89..582H
  1977PASP...89..588H  1976A&AS...23..125S  1976AJ.....81..245E  1975MSS...C01....0H
  1973AJ.....78..466K  1971AJ.....76..890M  1971ApJS...22..389E  1969MNRAS.144..333W
