C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST11:12:18

HD141003
--------

Object * bet Ser  ---  PM*  ---  OID=@2743279   (@@49585,0)  ---  coobox=17617

Coordinates(ICRS,ep=J2000,eq=2000): 15 46 11.2551806454  +15 25 18.549468647 (Opt ) A [0.2107 0.3136 90] 2020yCat.1350....0G
Coordinates(FK4,ep=B1950,eq=1950): 15 43 52.6595128572  +15 34 37.572415408
Coordinates(Gal,ep=J2000,eq=2000): 025.9799762887584  +47.8723044843608
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: 65.958 -47.791 [0.216 0.257 90] A 2020yCat.1350....0G
Parallax: 21.5924 [0.3070] A 2020yCat.1350....0G
Radial Velocity: 0.60 [0.3] A 2006AstL...32..759G
Redshift: 0.000002 [0.000001] A 2006AstL...32..759G
cz: 0.60 [0.30] A 2006AstL...32..759G
Flux U : 3.81 [~] C 2002yCat.2237....0D
Flux B : 3.73 [~] C 2002yCat.2237....0D
Flux V : 3.67 [~] C 2002yCat.2237....0D
Flux G : 3.653779 [0.003328] C 2022yCat.1355....0G
Flux R : 3.61 [~] C 2002yCat.2237....0D
Flux I : 3.58 [~] C 2002yCat.2237....0D
Flux J : 3.440 [0.290] D 2003yCat.2246....0C
Flux H : 3.539 [0.276] D 2003yCat.2246....0C
Flux K : 3.546 [0.318] D 2003yCat.2246....0C
Spectral type: A2IV C 1987ApJS...65..581G
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (42):
   HIP 77233                            Gaia DR3 1195823284391343104         TIC 119885027                      
   PLX 3569                             * bet Ser                            * 28 Ser                           
   ADS 9778 A                           AG+15 1580                           BD+15 2911                         
   CCDM J15461+1525A                    CSI+15 2911 1                        FK5 583                            
   GC 21194                             GCRV 9094                            GEN# +1.00141003A                  
   GSC 01495-01994                      HD 141003                            HGAM 641                           
   HIC 77233                            HR 5867                              IDS 15416+1544 A                   
   JP11 2645                            N30 3542                             PMC 90-93 414                      
   PPM 131676                           ROT 2222                             SAO 101725                         
   SKY# 28510                           SRS 30583                            TD1 18546                          
   TYC 1495-1994-1                      UBV 13431                            YZ 15 5643                         
   WDS J15462+1525A                     2MASS J15461125+1525185              IRAS 15438+1534                    
   AKARI-IRC-V1 J1546112+152518         ** STF 1970A                         NAME Chow                          
   uvby98 100141003                     WEB 13088                            Gaia DR2 1195823284390905728       

Bibcodes  1850-2023 () (176):
  2021A&A...649A.112V  2021AJ....162..198B  2021ApJS..254...42B  2021MNRAS.504.3730C
  2020MNRAS.491.2280S  2019A&A...623A..72K  2019MNRAS.490.3158C  2018A&A...620A.172Z
  2018AJ....155...30B  2018AJ....156..286S  2017AJ....154..115H  2017PASP..129e4501I
  2016A&A...591A.118S  2016AJ....151....3G  2016AJ....152...40G  2016ApJ...826..171G
  2016ApJS..227....4H  2015A&A...580A..23P  2015AJ....149..110W  2015ApJ...804..146D
  2015ApJ...813...58J  2015ApJS..216...33F  2015ApJS..217...29B  2014A&A...567A..26L
  2014MNRAS.437.1216D  2013A&A...553A..95M  2013A&A...556A..53E  2012A&A...537A.120Z
  2012A&A...544A..31V  2012A&A...546A..61D  2012A&ARv..20...51V  2012AJ....143...28F
  2012ApJS..199....8G  2012MNRAS.427..343M  2011A&A...525A..71W  2011ApJS..192....2S
  2011MNRAS.415..854D  2010A&A...510A..54W  2010A&A...515A.111S  2010A&A...516A..28V
  2010A&A...516A..29V  2010ApJ...714.1679F  2009A&A...501..297Z  2009AJ....137.3245M
  2009PASJ...61.1165T  2008ApJ...673..283R  2008ApJS..176..276V  2008MNRAS.389..869E
  2007A&A...463..671R  2007A&A...474..653V  2007ApJ...660..641K  2007BASI...35...87R
  2007BASI...35..359R  2006ApJ...653..675S  2006AstL...32..759G  2006JHA....37..251H
  2005ApJ...620.1010R  2004ApJS..152..251V  2004BASI...32..311R  2003A&A...411..447L
  2003AJ....125.1980K  2003AJ....126...53B  2002A&A...381..446M  2002A&A...382..118T
  2002A&A...393..897R  2002ApJ...574..834F  2002yCat.2237....0D  2001A&A...365..222G
  2001A&A...367..297A  2001A&A...367..521P  2001ApJ...546..352S  2001ApJ...555..932S
  2000JHA....31..115D  1998A&A...330..619J  1998A&AS..129..431H  1998A&AS..129..505B
  1998AJ....116..782E  1997A&A...323L..49P  1997A&A...328..602L  1997AJ....114..850S
  1997ARep...41..521G  1997ApJ...487..847W  1997PNAOJ...5....1Y  1996AJ....112.1595E
  1995A&AS..109..501C  1995A&AS..114..269D  1995ApJ...446..300W  1995ApJS...99..135A
  1994A&A...286.1006O  1994A&AS..103..427K  1994AZh....71...72V  1993A&AS..101..551L
  1993AJ....105..226S  1993AJ....105.2299S  1993ApJ...402L...5S  1993yCat.3135....0C
  1992A&AS...92....1G  1992A&AS...95..355C  1992AJ....104.1493E  1992AZh....69.1062G
  1992PPMtO..11..184X  1991A&A...252..203R  1991PBeiO..17..120W  1991PPMtO..10..214Y
  1990PBeiO..16...18L  1989A&AS...77...67C  1989A&AS...77..411S  1989A&AS...78..511P
