C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST12:35:31

HD207978
--------

Object * 15 Peg  ---  PM*  ---  OID=@1507935   (@@31594,0)  ---  coobox=9623

Coordinates(ICRS,ep=J2000,eq=2000): 21 52 29.9168018496  +28 47 36.750679764 (Opt ) A [0.0362 0.0431 90] 2020yCat.1350....0G
Coordinates(FK4,ep=B1950,eq=1950): 21 50 15.8151814543  +28 33 31.408406046
Coordinates(Gal,ep=J2000,eq=2000): 082.0508623888225  -19.5377731842312
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: -59.169 -61.603 [0.062 0.058 90] A 2020yCat.1350....0G
Parallax: 37.0591 [0.0525] A 2020yCat.1350....0G
Radial Velocity: 18.921 [0.0019] A 2018A&A...616A...7S
Redshift: 0.000063 [0.000000] A 2018A&A...616A...7S
cz: 18.92 [0.00] A 2018A&A...616A...7S
Flux U : 5.82 [~] C 2002yCat.2237....0D
Flux B : 5.95 [~] C 2002yCat.2237....0D
Flux V : 5.53 [~] C 2002yCat.2237....0D
Flux G : 5.393223 [0.002826] C 2020yCat.1350....0G
Flux J : 4.63 [~] C 2002yCat.2237....0D
Flux H : 4.441 [0.036] C 2003yCat.2246....0C
Flux K : 4.332 [0.016] C 2003yCat.2246....0C
Spectral type: F2V C 1995ApJS...99..135A
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (29):
   Gaia DR3 1896396703077703936         TIC 326202925                        PLX 5288                           
   * 15 Peg                             AG+28 2571                           BD+28 4215                         
   GC 30625                             GCRV 13741                           GEN# +1.00207978                   
   GJ 4234                              GSC 02214-02037                      HD 207978                          
   HIC 107975                           HIP 107975                           HR 8354                            
   PPM 113698                           ROT 3183                             SAO 90065                          
   SKY# 41690                           TD1 28543                            TYC 2214-2037-1                    
   UBV M 25978                          YPAC 212                             YZ 28 12966                        
   uvby98 100207978                     2MASS J21522991+2847367              PLX 5288.00                        
   WEB 19470                            Gaia DR2 1896396703077703936                                            

Bibcodes  1850-2023 () (239):
  2023AJ....165...39F  2023AJ....165..114Z  2023AJ....165..164B  2022A&A...658A..47K
  2022AJ....164...61M  2022MNRAS.509.5117S  2021ApJS..254...42B  2020ApJS..247...11R
  2019A&A...623A..72K  2019AJ....158..219M  2019ApJ...880...49H  2019ApJS..241...12S
  2019MNRAS.490.3158C  2018A&A...614A..55A  2018A&A...615A.151B  2018A&A...616A...7S
  2018A&A...616A.108B  2018ApJ...867..121G  2017AJ....153...16S  2017AJ....153...21L
  2017AJ....153...39C  2017AJ....154..115H  2017MNRAS.466..546M  2017MNRAS.469.3042N
  2017PASP..129e4501I  2016A&A...586A..14H  2016A&A...587A...2B  2016A&A...591A..89M
  2016A&A...591A.118S  2016ApJ...826..171G  2015A&A...579A..68G  2015A&A...580A..23P
  2015AJ....150..203G  2015ApJ...804..146D  2015PASA...32...36M  2014A&A...561A..36W
  2014A&A...562A..71B  2014A&A...567A..26L  2014AJ....148...54H  2014MNRAS.442..220F
  2013A&A...551L...8P  2013A&A...552A..21G  2013A&A...553A..95M  2013A&A...554A..50S
  2013A&A...555A...6S  2013A&A...557A.128C  2013ApJ...764...78R  2013MNRAS.429..126R
  2012A&A...541A.157S  2012ApJ...746..144Z  2012ApJ...756...46R  2011A&A...525A..71W
  2011A&A...530A.138C  2011A&A...531A...8J  2011A&A...532A..98C  2011AJ....141...90L
  2010A&A...515A.111S  2010A&A...516A..29V  2010ApJ...725..875I  2010PASP..122..885S
  2009A&A...493.1099S  2009A&A...499..103S  2009A&A...501..941H  2009AJ....137..272R
  2009AcA....59..213M  2009MNRAS.396.1895C  2009PASJ...61..549S  2008A&A...485..823B
  2008ApJS..176..276V  2008BASI...36....1M  2008MNRAS.389..869E  2008PASP..120..602T
  2007A&A...465..271R  2007A&A...467..665F  2007A&A...474..653V  2007ARep...51..903M
  2007ApJ...669.1167B  2007ApJS..171..146S  2007PASJ...59..335T  2006A&A...449..127Z
  2006AstL...32..759G  2006MNRAS.367.1181B  2006MNRAS.371.1793K  2005A&A...433..185B
  2005A&A...438..139S  2005A&A...441..533C  2005AJ....130.2666P  2005ApJ...626..411R
  2005PASJ...57...13T  2005PASJ...57...27T  2005PASJ...57...45T  2004A&A...418..989N
