C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST12:34:16

HD206936
--------

Object * mu. Cep  ---  s*r  ---  OID=@157494   (@@7764,0)  ---  coobox=601

Coordinates(ICRS,ep=J2000,eq=2000): 21 43 30.4610574  +58 46 48.160181 (Opt ) A [0.16 0.14 90] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 21 41 58.5049492  +58 33 00.718644
Coordinates(Gal,ep=J2000,eq=2000): 100.5952421009  +04.3149777036
hierarchy counts: #parents=1, #children=0, #siblings=0
Proper motions: 5.36 -3.51 [0.17 0.18 90] A 2007A&A...474..653V
Parallax: 0.55 [0.20] A 2007A&A...474..653V
Radial Velocity: 23.00 [0.58] A 2008A&A...485..303M
Redshift: 0.000077 [0.000002] A 2008A&A...485..303M
cz: 23.00 [0.58] A 2008A&A...485..303M
Flux U : 8.85 [~] C 2002yCat.2237....0D
Flux B : 6.43 [~] C 2002yCat.2237....0D
Flux V : 4.08 [~] C 2002yCat.2237....0D
Flux G : 2.3269 [0.0051] C 2018yCat.1345....0G
Flux R : 1.98 [~] C 2002yCat.2237....0D
Flux I : 0.22 [~] C 2002yCat.2237....0D
Flux J : -0.52 [~] C 2002yCat.2237....0D
Flux H : -1.27 [~] C 2002yCat.2237....0D
Flux K : -1.72 [~] C 2002yCat.2237....0D
Spectral type: M2-Ia B 1989ApJS...71..245K
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (42):
   Gaia DR3 2202630001603369856         TIC 260614141                        NAME Herschel's Garnet Star        
   NAME Erakis                          PLX 5252                             * mu. Cep                          
   AAVSO 2140+58                        ADS 15271 A                          AG+58 1378                         
   BD+58 2316                           CCDM J21435+5847A                    CSI+58 2316 1                      
   DO 40029                             GC 30440                             GCRV 13658                         
   GSC 03979-01616                      HD 206936                            HIC 107259                         
   HIP 107259                           HR 8316                              IDS 21404+5819 A                   
   IRAS 21419+5832                      IRC +60325                           JP11 3398                          
   PPM 39787                            RAFGL 2802                           SAO 33693                          
   SKY# 41413                           SV* VV 469                           TYC 3979-1616-1                    
   UBV 21553                            V* mu. Cep                           YZ 58 12465                        
   [KW97] 59-21                         [LFO93] 2141+58                      2MASS J21433045+5846480            
   Cl Trumpler 37 1319                  Cl* Trumpler 37 MMU 1319             PLX 5252.00                        
   WDS J21435+5847A                     WEB 19372                            Gaia DR2 2202630001591176064       

Bibcodes  1850-2023 () (659):
  2023A&A...669A..56Q  2023A&A...670A..62L  2023A&A...675A..46C  2023AJ....166...78A
  2023JAVSO..51...91W  2023MNRAS.520.1390S  2022A&A...661A..91L  2022A&A...663A..64M
  2022A&A...666L...5G  2022AJ....163..103H  2022AJ....163..131M  2022MNRAS.510..383A
  2022MNRAS.512.4021B  2021A&A...646A..11M  2021A&A...646A.180K  2021A&A...650L..17K
  2021A&A...651A..37G  2021AJ....161...98H  2021AJ....162..187M  2021ApJ...919..124N
  2021ApJS..253...44R  2021ApJS..254...42B  2021MNRAS.502..369C  2021MNRAS.502.4890D
  2021MNRAS.505..568B  2020A&A...635A.183K  2020A&A...638A..90C  2020A&A...641A..44M
  2020A&A...642A.235K  2020A&A...644A.139G  2020AJ....160..145H  2020AN....341..908B
  2020ApJ...905...34H  2020MNRAS.493..468D  2020MNRAS.493.2339M  2020MNRAS.499.5665C
  2019A&A...623A..72K  2019A&A...632A..28K  2019A&A...632A..30L  2019AJ....157...18H
  2019AJ....157...57G  2019ApJ...875..124N  2019MNRAS.484.5129S  2019MNRAS.485...13H
  2019MNRAS.485..784P  2019MNRAS.485.2417M  2019MNRAS.487.4832C  2019MNRAS.490.2042U
  2019MNRAS.490.3158C  2019PASJ...71....4U  2018A&A...615A.116M  2018A&A...618A.137D
  2018A&A...620A.199L  2018AJ....155..207N  2018AJ....155..212G  2018ApJ...867..155L
  2018ApJ...869..157C  2018MNRAS.477L..55A  2018MNRAS.478.3467S  2017A&A...603A.129T
  2017ApJ...845....6T  2017MNRAS.464.3229M  2017MNRAS.465..403G  2017MNRAS.472.3887M
  2016A&A...595A.105D  2016A&A...596A..49B  2016AJ....151...51S  2016ApJ...817..145S
  2016ApJ...826..171G  2016MNRAS.456..374G  2016MNRAS.457.2043B  2016MNRAS.461.3296N
  2016MNRAS.463.1269B  2015A&A...573A..28R  2015A&A...575A..60M  2015A&A...576A..70P
  2015A&A...582A..96M  2015AJ....150..149E  2015ApJ...811...45S  2015ApJS..221...30S
  2015MNRAS.449.2598R  2015MNRAS.449.2853R  2015MNRAS.450.3080M  2014A&A...565A.127D
  2014A&A...566A.124L  2014A&A...568A..17O  2014ApJ...782...61T  2014ApJ...785...36A
  2014MNRAS.437..843G  2014MNRAS.439L..41M  2014MNRAS.444.1369H  2014MNRAS.444.2754M
  2013A&A...549A.129C  2013A&A...553A..95M  2013A&A...554A..76A  2013ApJ...767....3D
  2013ApJ...773....1J  2013ApJ...779L..14A  2013MNRAS.428.2064H  2013PASP..125.1393H
  2012A&A...537A..35C  2012A&A...540L..12W  2012A&A...543C...1C  2012A&A...544A..31V
  2012A&A...545A..60T  2012A&A...546A.105N  2012A&A...547A..62H  2012A&A...548A.113D
  2012AJ....144..116S  2012ApJ...748...19A  2012ApJ...749L..20H  2012ApJ...749L..23D
  2012ApJ...757..111B  2012MNRAS.427.3209J  2011A&A...525A...1P  2011A&A...525A..71W
  2011A&A...526A.156M  2011A&A...526A.162G  2011A&A...530A..93V  2011A&A...531A.117K
  2011AN....332..547N  2011ARep...55...31S  2011ApJ...726...14K  2011ApJ...731....9C
  2011ApJ...740...24R  2011MNRAS.410..190T  2010A&A...511A..58D  2010A&A...523A..18D
  2010AJ....140.1758T  2010ARA&A..48...21H  2010ApJS..188..209K  2010ApJS..190..203P
  2010BaltA..19..147K  2010NewAR..54....1L  2009A&A...494..157D  2009A&A...498..127V
  2009A&A...503..183O  2009A&A...504..115K  2009A&A...504..543T  2009AJ....137.3245M
  2009ApJ...691..332Z  2009ApJ...699.1423S  2009ApJ...701.1464H  2009ApJS..182..477S
  2009ApJS..185..289R  2009JRASC.103...11P  2009MmSAI..80..715O  2009RMxAC..35...27B
  2008A&A...480..115P  2008A&A...485..303M  2008ApJ...673..954C  2008ApJ...685L..75D
  2008MNRAS.389..869E  2008RMxAC..33...29M  2007A&A...469..671J  2007A&A...474..599P
  2007A&A...474..653V  2007AJ....134..205A  2007ApJ...663.1069F  2007ApJ...663L..81K
  2007ApJ...667..497M  2007ApJ...669..446N  2007BAVSR..56..119V  2007MNRAS.375...99R
  2007PABei..25..132L  2007PABei..25..226G  2007RMxAC..30....6H  2006A&A...445..971P
  2006A&A...447..311V  2006A&A...452..523K  2006AJ....131..603S  2006ApJ...637..774C
  2006ApJ...640..625R  2006ApJ...645..395S  2006ApJ...645..652R  2006ApJ...645.1448T
  2006ApJ...646..774T  2006ApJ...651.1130G  2006AstL...32..604R  2006AstL...32..759G
  2006MNRAS.367.1689R  2006MNRAS.372.1721K  2006RMxAA..42..273S  2005A&A...430..165F
  2005A&A...431..773R  2005A&A...432..575F  2005A&A...436..317P  2005A&A...438..273V
  2005ApJ...628..973L  2005ApJ...630..381B  2005ApJ...633..986P  2005JRASC..99...98K
