C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.24CEST02:40:26

HD137759
--------

Object * iot Dra  ---  V*  ---  OID=@444249   (@@8880,7)  ---  coobox=1276

Coordinates(ICRS,ep=J2000,eq=2000): 15 24 55.7746265  +58 57 57.834445 (Opt ) A [0.09 0.09 90] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 15 23 48.7561376  +59 08 26.232675
Coordinates(Gal,ep=J2000,eq=2000): 093.9710661549  +48.6277781618
hierarchy counts: #parents=0, #children=1, #siblings=0
Proper motions: -8.36 17.08 [0.08 0.10 90] A 2007A&A...474..653V
Parallax: 32.23 [0.10] A 2007A&A...474..653V
Radial Velocity: -10.912 [0.0010] A 2018A&A...616A...7S
Redshift: -0.000036 [0.000000] A 2018A&A...616A...7S
cz: -10.91 [0.00] A 2018A&A...616A...7S
Flux U : 5.68 [~] C 2002yCat.2237....0D
Flux B : 4.45 [~] C 2002yCat.2237....0D
Flux V : 3.29 [~] C 2002yCat.2237....0D
Flux G : 2.8471 [0.0037] C 2018yCat.1345....0G
Flux R : 2.51 [~] C 2002yCat.2237....0D
Flux I : 1.91 [~] C 2002yCat.2237....0D
Flux J : 1.38 [~] C 2002yCat.2237....0D
Flux H : 0.724 [0.146] C 2003yCat.2246....0C
Flux K : 0.68 [~] C 2002yCat.2237....0D
Spectral type: K2III B 1989ApJS...71..245K
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (41):
   TIC 165722603                   PLX 3490                        * 12 Dra                      
   * iot Dra                       AG+59 999                       BD+59 1654                    
   CCDM J15250+5859A               DO 34945                        FK5 571                       
   GC 20747                        GCRV 8925                       GEN# +1.00137759              
   GSC 03875-01620                 HD 137759                       HIC 75458                     
   HIP 75458                       HR 5744                         IRAS 15238+5908               
   IRC +60233                      JP11 2606                       N30 3475                      
   NSV 7077                        PMC 90-93 405                   PPM 34972                     
   ROT 2187                        SAO 29520                       SKY# 27902                    
   TD1 18258                       TYC 3875-1620-1                 UBV 13273                     
   UBV M 20785                     YZ 0 8366                       [HFE83] 1103                  
   uvby98 100137759                Gaia DR2 1614731957530945280    PLX 3490.00                   
   WDS J15249+5858A                ** BUP 162A                     2MASS J15245578+5857577       
   NAME Edasich                    WEB 12868                                                     

Bibcodes  1850-2021 () (378):
  2021A&A...646A.130A  2021A&A...648A..58N  2020AJ....160...84G  2020AJ....160..225K
  2020ApJ...890...23L  2020MNRAS.492.5470M  2020MNRAS.496..612H  2019A&A...623A..72K
  2019A&A...624A..94M  2019A&A...625A..22R  2019ApJ...875...99K  2019ApJ...876...23G
  2019MNRAS.484.4619G  2019MNRAS.490.3158C  2018A&A...611A..38O  2018A&A...612A..52O
  2018A&A...616A...7S  2018A&A...616A..33S  2018A&A...616A..37B  2018AJ....155...30B
  2018MNRAS.473.3608A  2018MNRAS.477.4403W  2017A&A...602A..38M  2017A&A...603A..30S
  2017AJ....153..136S  2017AJ....154..115H  2017AJ....154..274W  2017PASP..129e4501I
  2016A&A...585A..64S  2016A&A...587A...2B  2016A&A...588A..98M  2016A&A...589A.112C
  2016A&A...591A.118S  2016A&A...596A..49B  2016AJ....152...66B  2016AJ....152..181H
  2016ApJ...825..127R  2016ApJ...826..171G  2016PASP..128k4401H  2015A&A...573A..13D
  2015A&A...574A..50J  2015A&A...574A.116R  2015A&A...575A..35B  2015A&A...579A..20M
  2015A&A...580A..23P  2015A&A...580A..24D  2015A&A...582A..96M  2015AJ....150...88L
  2015AJ....150..123R  2015ApJ...812...96G  2015MNRAS.448.2749A  2015MNRAS.449.2853R
  2015MNRAS.449.4428R  2015MNRAS.454.2863H  2015PASP..127.1021W  2014A&A...561A..36W
  2014A&A...567A..26L  2014A&A...571A..36R  2014AJ....148...54H  2014ApJ...785...93K
  2014ApJ...794...15J  2014ApJS..210...11N  2014MNRAS.439.2781M  2014PASP..126..133C
  2013A&A...549A.129C  2013A&A...551L...8P  2013A&A...552A.119S  2013A&A...553A..95M
  2013A&A...554A..84M  2013A&A...556A.150S  2013A&A...557A..70M  2013AJ....146...73P
  2013ApJ...766....9S  2013ApJS..208....2W  2012A&A...538A.143K  2012A&A...541A..40M
  2012A&A...542A..92R  2012A&A...544A..31V  2012A&A...546A...5L  2012A&A...546A..61D
  2012Ap.....55..515R  2012ApJ...745...28G  2012ApJ...757..109C  2012MNRAS.421.2498G
  2012MNRAS.427..343M  2011A&A...525A..71W  2011A&A...526A..71D  2011A&A...527A.140R
  2011A&A...529A.134L  2011A&A...531A.165P  2011A&A...532A...6S  2011AJ....142..175R
  2011ApJ...739L..49L  2011ApJ...743..130B  2011MNRAS.413.1200R  2011MNRAS.414..418P
  2011MNRAS.414.1227M  2010A&A...515A.111S  2010A&A...516A..28V  2010A&A...516A..29V
