C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST08:22:56

HD57150
-------

Object * ups01 Pup  ---  Be*  ---  OID=@965452   (@@12567,0)  ---  coobox=7899

Coordinates(ICRS,ep=J2000,eq=2000): 07 18 18.3933493  -36 44 02.232922 (Opt ) A [0.13 0.15 90] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 07 16 31.6739714  -36 38 30.379652
Coordinates(Gal,ep=J2000,eq=2000): 248.7797540023  -10.9116902809
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: -10.25 5.82 [0.15 0.18 90] A 2007A&A...474..653V
Parallax: 4.06 [0.18] A 2007A&A...474..653V
Radial Velocity: 18.6 [2] E 1953GCRV..C......0W
Redshift: 0.000062 [0.000007] E 1953GCRV..C......0W
cz: 18.60 [2.00] E 1953GCRV..C......0W
Flux U : 3.78 [~] C 2002yCat.2237....0D
Flux B : 4.57 [~] C 2002yCat.2237....0D
Flux V : 4.67 [~] C 2002yCat.2237....0D
Flux G : 4.5236 [0.0043] C 2018yCat.1345....0G
Flux R : 4.57 [~] C 2002yCat.2237....0D
Flux I : 4.62 [~] C 2002yCat.2237....0D
Flux J : 4.81 [~] C 2002yCat.2237....0D
Flux H : 4.666 [0.036] C 2003yCat.2246....0C
Flux K : 4.516 [0.023] C 2003yCat.2246....0C
Spectral type: B2V+B3IVne C 1982MSS...C03....0H
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (47):
   HIP 35363                            Gaia DR3 5589411172768195840         WISEA J071818.39-364402.3          
   TIC 23037766                         2MASS J07181839-3644023              Cl* Collinder 135 CK 2             
   Cl* Collinder 135 B 8                [JE82] 297                           ALS 312                            
   CCDM J07184-3645A                    CD-36 3512                           CEL 1759                           
   CPC 18 2955                          CPD-36 1225                          Cl* Collinder 135 GA c             
   EM* MWC 173                          GC 9733                              GCRV 4839                          
   GEN# +1.00057150                     GSC 07115-03016                      HD 57150                           
   HIC 35363                            HR 2787                              Hen 3-29                           
   IDS 07147-3633 A                     JP11 1535                            LS 312                             
   PPM 283776                           ROT 1177                             SAO 197824                         
   SKY# 13248                           TD1 9770                             TYC 7115-3016-1                    
   UBV 7111                             UBV M 13183                          V* NV Pup                          
   [B10] 1907                           WDS J07183-3644A                     * ups01 Pup                        
   IRAS 07165-3638                      AKARI-IRC-V1 J0718183-364402         WISE J071818.40-364402.1           
   ** JC 10A                            UCAC4 267-015277                     uvby98 100057150                   
   WEB 7058                             Gaia DR2 5589411172766672896                                            

Bibcodes  1850-2023 () (152):
  2022MNRAS.511.3428K  2022MNRAS.511.4404S  2021A&A...645L...8X  2021A&A...656A..57L
  2021ApJ...921....5B  2021ApJS..254...42B  2020A&A...634A..18C  2020A&A...636A..74T
  2020MNRAS.493.2528B  2019A&A...623A..72K  2019MNRAS.490.3158C  2018A&A...616L..15X
  2018A&A...620A.172Z  2018ApJ...853..156W  2018MNRAS.474.5287A  2017ApJ...842...48A
  2016A&A...591A.118S  2016MNRAS.463.1162C  2015A&A...580A..23P  2013AstL...39..532B
  2012A&A...546A..61D  2012A&ARv..20...51V  2012MNRAS.427..343M  2011ApJ...729...17T
  2011MNRAS.410..190T  2010A&A...514A...2I  2010AN....331..349H  2009A&A...507..833M
  2008MNRAS.389..869E  2007A&A...474..653V  2007AJ....134.1089S  2006ApJ...640..491S
  2006AstL...32..759G  2005A&A...444..941P  2005AJ....130.1652R  2003AJ....125.2531R
  2002BaltA..11....1W  2002yCat.2237....0D  2001A&A...367..521P  2001A&A...368..912Y
  2001ApJ...555..364B  2000A&AS..146..251B  2000A&AS..147..229B  2000MNRAS.312..753K
  1998A&A...340..402B  1998A&AS..129..431H  1998A&AS..130..455V  1998ApJ...497..330M
  1998ApJS..115..271R  1997A&A...323L..49P  1997AJ....113..823R  1996A&A...308..170H
  1996A&AS..116..309H  1996A&AS..118..481B  1995A&A...302..751H  1995A&AS..111..457B
  1995A&AS..114..269D  1995AN....316..155A  1995ApJS...97..189R  1994A&AS..106..427M
  1994ApJS...94..163S  1993A&AS...97..807J  1993AcA....43...53W  1993Ap&SS.203...53H
  1993IAUC.5694....1W  1993PASP..105..926A  1993PASP..105.1127G  1993yCat.3135....0C
  1992A&AS...92..533B  1992A&AS...95..437D  1992A&AS...96..625O  1992ApJS...81..335S
  1991AGAb....6...48H  1991MNRAS.252..403P  1990A&A...238..227D  1990AcApS..10..154H
  1990Ap&SS.163...49D  1990BICDS..38..175K  1990MNRAS.247..407F  1990SAAOC..14...33M
  1989A&A...214..153H  1989A&A...222..187K  1989A&AS...77..351P  1988A&A...190..187H
  1988A&A...194..167D  1988A&AS...74..497M  1988Ap&SS.147...91G  1987A&A...173..299H
  1987A&AS...67..203K  1987AJ.....94..771D  1987MNRAS.227..213S  1987RMxAA..14..323B
  1986A&A...166..185H  1986A&AS...63...87D  1985A&AS...60..315V  1983A&A...126..192Z
  1983AJ.....88..197E  1983PASP...95...48M  1983PASP...95..782F  1982A&A...107..240D
  1982AN....303..105G  1982ApJS...50...55S  1982IAUS...98..261J  1982MSS...C03....0H
  1981A&AS...43..427D  1981IBVS.1958....1B  1981PASP...93..110F  1980A&AS...40..395S
  1980AcA....30..413S  1980ApJS...42..283M  1980PASP...92..501C  1979AJ.....84.1713F
